NodeID,ParentID,x,y,z,thickness
0,-1,0,0,0,0.0615467
1,0,0,0.03,-1.78814e-09,0.0615467
2,1,-0.00295621,0.0597729,0.00219907,0.0615467
3,2,-0.00633284,0.0894409,-0.000700826,0.0615467
4,3,-0.0102702,0.119047,-0.00352708,0.0615467
5,4,-0.0142729,0.148762,-0.00254861,0.0615467
6,5,-0.0165537,0.178658,-0.00152433,0.0615467
7,6,-0.018833,0.20855,-0.00039524,0.0615467
8,7,-0.0175609,0.238507,0.000601469,0.0615467
9,8,-0.0169988,0.268209,-0.00357202,0.0615467
10,9,-0.0177692,0.297917,-0.00768206,0.0615467
11,10,-0.0185569,0.327888,-0.00873631,0.0615467
12,11,-0.0245923,0.357248,-0.00997102,0.0615467
13,12,-0.0304202,0.386676,-0.0097627,0.0615467
14,13,-0.0301488,0.416669,-0.010345,0.0615467
15,14,-0.029723,0.446662,-0.0098481,0.0615467
16,15,-0.0302375,0.476652,-0.0092649,0.0615467
17,16,-0.0309554,0.506354,-0.0134201,0.0495177
105,16,-0.0309554,0.506354,-0.0134201,0.0365513
18,17,-0.0305215,0.536065,-0.0175503,0.0386782
156,17,-0.0305215,0.536065,-0.0175503,0.0309193
106,105,-0.0323035,0.514563,-0.0422437,0.0365513
19,18,-0.0299422,0.565265,-0.0244111,0.0386782
160,156,-0.0516808,0.557096,-0.0207157,0.0309193
108,106,-0.03614,0.524458,-0.070304,0.0365513
20,19,-0.0346842,0.594105,-0.031173,0.0386782
162,160,-0.0720332,0.579131,-0.0211955,0.0287054
273,160,-0.0720332,0.579131,-0.0211955,0.0114891
109,108,-0.0398708,0.537562,-0.0970314,0.0365513
21,20,-0.0394733,0.62346,-0.0350899,0.0367151
331,20,-0.0394733,0.62346,-0.0350899,0.0121655
165,162,-0.0882601,0.604356,-0.0217993,0.0287054
282,273,-0.0824994,0.59139,-0.0464969,0.0114891
111,109,-0.0437484,0.552122,-0.122973,0.032311
253,109,-0.0437484,0.552122,-0.122973,0.017088
22,21,-0.0498428,0.651285,-0.0393663,0.0367151
343,331,-0.0415776,0.638438,-0.00918153,0.0121655
166,165,-0.104423,0.629534,-0.0240027,0.0287054
287,282,-0.0916664,0.60606,-0.0710075,0.0114891
113,111,-0.047452,0.568094,-0.148096,0.032311
261,253,-0.0191775,0.563686,-0.135722,0.017088
